MC	<p>a1d7_c81c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> cannot form a double-stranded helix	Incorrect	the <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a different sugar	Correct	thymine in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of uracil in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a negative charge, <strong><span style="color: OrangeRed;">RNA</span></strong> has a positive charge	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect
MC	<p>b8e9_617a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> has a positive charge, <strong><span style="color: OrangeRed;">RNA</span></strong> has a negative charge	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect
MC	<p>11d9_eb06</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is ribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect	uracil in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> takes the place of adenine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>	Correct
MC	<p>f2e2_2426</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of guanine in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> has a regular consistent structure, whereas <strong><span style="color: MediumBlue;">DNA</span></strong> adopts a wide variety of tertiary structures	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Correct
MC	<p>b52b_ee74</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> takes the place of guanine in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect
MC	<p>ada6_a4a9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a positive charge, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a negative charge	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect
MC	<p>691c_0053</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 4&prime; hydroxide (-OH) group compared to <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> can form a double-stranded helix, but <strong><span style="color: OrangeRed;">RNA</span></strong> cannot	Incorrect	the <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a different sugar	Correct	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of guanine in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>c00b_6370</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> takes the place of guanine in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure	Incorrect
MC	<p>fdc5_f70d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> takes the place of guanine in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> nucleotides have a 2&prime; hydroxide (-OH) group, <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect
MC	<p>691c_c859</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of cytosine in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a positive charge	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is usually double-stranded (duplex)	Correct	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect
MC	<p>936d_fed0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of cytosine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	double-stranded <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is mostly in the B-form helix	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> can form a double-stranded helix, but <strong><span style="color: OrangeRed;">RNA</span></strong> cannot	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> has a regular consistent structure, whereas <strong><span style="color: MediumBlue;">DNA</span></strong> adopts a wide variety of tertiary structures	Incorrect
MC	<p>11d9_f318</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix	Incorrect	the <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> sugar is ribose, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a different sugar	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> adopts a wide variety of tertiary structures	Incorrect
MC	<p>ada6_d578</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a negative charge, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a positive charge	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>691c_d43c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is ribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the B-form helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of cytosine in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>691c_427f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is mostly in the B-form helix	Correct	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> has a sugar-phosphate backbone, <strong><span style="color: MediumBlue;">DNA</span></strong> does not	Incorrect	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is deoxyribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of adenine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect
MC	<p>11d9_7b2b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> nucleotides have a 2&prime; hydroxide (-OH) group, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> does not	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	the <strong><span style="color: OrangeRed;">RNA</span></strong> sugar is ribose, <strong><span style="color: MediumBlue;">DNA</span></strong> has a different sugar	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
